Question,Answer
What is the capital of France?,Paris
Who wrote the play 'Romeo and Juliet'?,William Shakespeare
Which planet is known as the Red Planet?,Mars
What is the largest ocean on Earth?,Pacific Ocean
Who was the first President of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
What is the currency of Japan?,Yen
In which year did World War II end?,1945
Who painted the Mona Lisa?,Leonardo da Vinci
What is the tallest mountain in the world?,Mount Everest
Which language is the most spoken worldwide?,Mandarin Chinese
What is the smallest prime number?,2
Which country is known as the Land of the Rising Sun?,Japan
What is the boiling point of water in Celsius?,100
Which animal is known as the King of the Jungle?,Lion
Who invented the telephone?,Alexander Graham Bell
Which gas do plants use for photosynthesis?,Carbon dioxide
Which is the longest river in the world?,Nile
Which continent is the Sahara Desert located on?,Africa
What is the hardest natural substance on Earth?,Diamond
